gameID,homeTeam,awayTeam,ref1,ref2,offendingTeam,penaltyType,penaltySeverity,penaltyMinutes,penaltyOn,drewBy,drawnByTeam
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Toronto Maple Leafs,Hi-sticking,Minor,2,8476853,8479293,Winnipeg Jets
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Toronto Maple Leafs,Illegal equipment,Minor,2,8473463,,
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Toronto Maple Leafs,Hi-sticking,Minor,2,8477015,8477504,Winnipeg Jets
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Winnipeg Jets,Hooking,Minor,2,8476885,8475098,Toronto Maple Leafs
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Toronto Maple Leafs,Hi-sticking,Minor,2,8474581,8479339,Winnipeg Jets
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Toronto Maple Leafs,Too many men on the ice,Bench Minor,2,8478483,,
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Toronto Maple Leafs,Slashing,Minor,2,8475172,8470834,Winnipeg Jets
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Winnipeg Jets,Interference,Minor,2,8477504,8475172,Toronto Maple Leafs
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Toronto Maple Leafs,Interference,Minor,2,8480158,8476469,Winnipeg Jets
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Winnipeg Jets,Interference,Minor,2,8470834,8475172,Toronto Maple Leafs
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Winnipeg Jets,Slashing,Minor,2,8474574,8480158,Toronto Maple Leafs
2017020001,Winnipeg Jets,Toronto Maple Leafs,2071,4621,Toronto Maple Leafs,Hi-sticking,Minor,2,8476853,8471218,Winnipeg Jets
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,Pittsburgh Penguins,Hooking,Minor,2,8471675,8476436,St. Louis Blues
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,Pittsburgh Penguins,Tripping,Minor,2,8476874,8476892,St. Louis Blues
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,Pittsburgh Penguins,Tripping,Minor,2,8471675,8476436,St. Louis Blues
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,St. Louis Blues,Holding,Minor,2,8474145,8474176,Pittsburgh Penguins
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,Pittsburgh Penguins,Slashing,Minor,2,8477404,8476892,St. Louis Blues
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,St. Louis Blues,Too many men on the ice,Bench Minor,2,8479420,,
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,St. Louis Blues,Slashing,Minor,2,8474565,8471675,Pittsburgh Penguins
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,St. Louis Blues,Tripping,Minor,2,8474145,8475735,Pittsburgh Penguins
2017020002,Pittsburgh Penguins,St. Louis Blues,4646,2275,St. Louis Blues,Closing hand on puck,Minor,2,8475170,,
2017020003,Edmonton Oilers,Calgary Flames,2123,6818,Edmonton Oilers,Holding the stick,Minor,2,8471729,8475907,Calgary Flames
2017020003,Edmonton Oilers,Calgary Flames,2123,6818,Edmonton Oilers,Fighting,Major,5,8475178,8470854,Calgary Flames
2017020003,Edmonton Oilers,Calgary Flames,2123,6818,Calgary Flames,Fighting,Major,5,8470854,8475178,Edmonton Oilers
2017020003,Edmonton Oilers,Calgary Flames,2123,6818,Calgary Flames,Holding the stick,Minor,2,8479314,8476457,Edmonton Oilers
2017020003,Edmonton Oilers,Calgary Flames,2123,6818,Calgary Flames,Hooking,Minor,2,8476462,8477934,Edmonton Oilers
2017020004,San Jose Sharks,Philadelphia Flyers,4650,2303,San Jose Sharks,Interference - Goalkeeper,Minor,2,8478099,8470880,Philadelphia Flyers
2017020004,San Jose Sharks,Philadelphia Flyers,4650,2303,Philadelphia Flyers,Hooking,Minor,2,8475430,8470794,San Jose Sharks
2017020004,San Jose Sharks,Philadelphia Flyers,4650,2303,Philadelphia Flyers,Tripping,Minor,2,8477462,8475820,San Jose Sharks
2017020004,San Jose Sharks,Philadelphia Flyers,4650,2303,Philadelphia Flyers,Cross checking,Minor,2,8473584,8470794,San Jose Sharks
2017020004,San Jose Sharks,Philadelphia Flyers,4650,2303,San Jose Sharks,Slashing,Minor,2,8478099,8470047,Philadelphia Flyers
2017020004,San Jose Sharks,Philadelphia Flyers,4650,2303,Philadelphia Flyers,Interference,Minor,2,8475462,8476919,San Jose Sharks
